employee_id,department,goal_id,goal_type,goal_description,target_value,current_value,achievement_rate,deadline,status
EMP0001,Finance,GOAL_EMP0001_1,Project Completion,Improve project completion by achieving 82% target,82,77,93.90243902439023,2026-02-14,In Progress
EMP0001,Finance,GOAL_EMP0001_2,Skill Development,Improve skill development by achieving 86% target,86,83,96.51162790697676,2025-10-15,In Progress
EMP0001,Finance,GOAL_EMP0001_3,Leadership Development,Improve leadership development by achieving 82% target,82,83,100.0,2025-11-01,Completed
EMP0001,Finance,GOAL_EMP0001_4,Performance Improvement,Improve performance improvement by achieving 83% target,83,89,100.0,2025-12-29,Completed
EMP0001,Finance,GOAL_EMP0001_5,Process Optimization,Improve process optimization by achieving 83% target,83,58,69.87951807228916,2026-01-18,In Progress
EMP0002,Product Management,GOAL_EMP0002_1,Client Satisfaction,Improve client satisfaction by achieving 91% target,91,91,100.0,2025-11-17,Completed
EMP0002,Product Management,GOAL_EMP0002_2,Skill Development,Improve skill development by achieving 76% target,76,79,100.0,2025-11-15,Completed
EMP0002,Product Management,GOAL_EMP0002_3,Client Satisfaction,Improve client satisfaction by achieving 77% target,77,83,100.0,2025-10-19,Completed
EMP0002,Product Management,GOAL_EMP0002_4,Leadership Development,Improve leadership development by achieving 82% target,82,78,95.1219512195122,2025-12-07,In Progress
EMP0003,HR,GOAL_EMP0003_1,Process Optimization,Improve process optimization by achieving 81% target,81,65,80.24691358024691,2026-01-20,In Progress
EMP0003,HR,GOAL_EMP0003_2,Skill Development,Improve skill development by achieving 87% target,87,92,100.0,2025-10-12,Completed
EMP0003,HR,GOAL_EMP0003_3,Client Satisfaction,Improve client satisfaction by achieving 89% target,89,97,100.0,2026-01-04,Completed
EMP0003,HR,GOAL_EMP0003_4,Performance Improvement,Improve performance improvement by achieving 73% target,73,55,75.34246575342466,2026-01-31,In Progress
EMP0004,Operations,GOAL_EMP0004_1,Client Satisfaction,Improve client satisfaction by achieving 94% target,94,74,78.72340425531915,2025-10-13,In Progress
EMP0004,Operations,GOAL_EMP0004_2,Project Completion,Improve project completion by achieving 91% target,91,55,60.43956043956044,2025-09-30,In Progress
EMP0004,Operations,GOAL_EMP0004_3,Project Completion,Improve project completion by achieving 76% target,76,80,100.0,2026-01-12,Completed
EMP0004,Operations,GOAL_EMP0004_4,Leadership Development,Improve leadership development by achieving 83% target,83,56,67.46987951807229,2025-10-26,In Progress
EMP0005,Engineering,GOAL_EMP0005_1,Skill Development,Improve skill development by achieving 86% target,86,65,75.5813953488372,2025-12-03,In Progress
EMP0005,Engineering,GOAL_EMP0005_2,Project Completion,Improve project completion by achieving 88% target,88,79,89.77272727272727,2026-01-24,In Progress
EMP0005,Engineering,GOAL_EMP0005_3,Leadership Development,Improve leadership development by achieving 87% target,87,88,100.0,2026-01-27,Completed
EMP0005,Engineering,GOAL_EMP0005_4,Performance Improvement,Improve performance improvement by achieving 86% target,86,83,96.51162790697676,2026-01-11,In Progress
EMP0005,Engineering,GOAL_EMP0005_5,Leadership Development,Improve leadership development by achieving 70% target,70,59,84.28571428571429,2025-12-24,In Progress
EMP0006,Engineering,GOAL_EMP0006_1,Skill Development,Improve skill development by achieving 90% target,90,55,61.111111111111114,2026-02-16,In Progress
EMP0006,Engineering,GOAL_EMP0006_2,Skill Development,Improve skill development by achieving 76% target,76,55,72.36842105263158,2025-09-27,In Progress
EMP0006,Engineering,GOAL_EMP0006_3,Performance Improvement,Improve performance improvement by achieving 72% target,72,77,100.0,2025-11-18,Completed
EMP0006,Engineering,GOAL_EMP0006_4,Project Completion,Improve project completion by achieving 88% target,88,69,78.4090909090909,2025-11-24,In Progress
EMP0006,Engineering,GOAL_EMP0006_5,Client Satisfaction,Improve client satisfaction by achieving 83% target,83,87,100.0,2025-12-07,Completed
EMP0007,HR,GOAL_EMP0007_1,Process Optimization,Improve process optimization by achieving 74% target,74,56,75.67567567567568,2025-12-25,In Progress
EMP0007,HR,GOAL_EMP0007_2,Leadership Development,Improve leadership development by achieving 74% target,74,61,82.43243243243244,2026-01-09,In Progress
EMP0007,HR,GOAL_EMP0007_3,Skill Development,Improve skill development by achieving 72% target,72,60,83.33333333333334,2025-10-21,In Progress
EMP0008,Customer Support,GOAL_EMP0008_1,Leadership Development,Improve leadership development by achieving 83% target,83,56,67.46987951807229,2025-12-09,In Progress
EMP0008,Customer Support,GOAL_EMP0008_2,Skill Development,Improve skill development by achieving 79% target,79,78,98.73417721518987,2026-01-25,In Progress
EMP0008,Customer Support,GOAL_EMP0008_3,Project Completion,Improve project completion by achieving 81% target,81,61,75.30864197530865,2026-02-02,In Progress
EMP0008,Customer Support,GOAL_EMP0008_4,Skill Development,Improve skill development by achieving 76% target,76,71,93.42105263157895,2025-11-08,In Progress
